country_code,country_name,cluster,label,mean,std,growth,trend,mean_p1,mean_p2,mean_p3
NOR,Norway,0,Emisi Rendah,32966.43734123535,8467.981301775786,22847.809762939498,348.2080271631582,23616.2134,37727.5987,37555.49992370607
NPL,Nepal,0,Emisi Rendah,2472.2013298138922,3345.15011326695,13369.3258092651,152.31973810153156,254.48979999999997,1239.61425,5922.499939441676
NRU,Nauru,0,Emisi Rendah,86.78398198054093,36.22113698570631,30.6639986588955,-0.5734355221986528,81.48888888888888,122.26857894736843,56.31578899527851
NZL,New Zealand,0,Emisi Rendah,23492.232388555905,7476.092535317265,22466.282321533203,417.00138356462486,15183.39685,22991.300349999998,32301.999965667717
OMN,Oman,0,Emisi Rendah,23298.587639014113,23088.50204697191,76018.9977792969,1319.362260078098,3396.660611111111,14146.896210526314,51304.736251831055
PAK,Pakistan,0,Emisi Rendah,75436.54748928224,54658.96416436978,176415.38732421902,3033.0257291683033,21285.284849999996,61977.357449999996,143047.00016784677
PAN,Panama,0,Emisi Rendah,4811.9366073115025,3099.897884657228,12342.576152587899,163.6717019878323,2266.2060000000006,3580.1038,8589.500021934506
PER,Peru,0,Emisi Rendah,27261.554859173586,12962.125525793197,48576.257,679.4422121531733,16307.149,23568.01565,41909.49992752075
PHL,Philippines,0,Emisi Rendah,53547.39337997232,33411.50019656583,137084.907168945,1806.8345084827843,23304.518399999997,45725.16145,91612.50028991696
PLW,Palau,0,Emisi Rendah,173.41415431945077,60.966270235741106,235.332,3.0317764531015254,110.00999999999998,179.35952631578948,227.99999752640716
PNG,Papua New Guinea,0,Emisi Rendah,2783.212595072683,2071.14344617001,7400.31692370605,112.3039791394916,856.2445,2166.8933,5326.499985218048
POL,Poland,0,Emisi Rendah,332350.8668465495,66476.21391390615,95362.84588281301,91.25689352044884,306303.59325,389189.00789999997,301559.9993896487
PRK,"Korea, Dem. People's Rep.",0,Emisi Rendah,82350.08862706706,42223.026773136175,32222.8359155273,-391.2812003332363,71901.61924999999,119306.64715,55841.99948120117
PRT,Portugal,0,Emisi Rendah,36851.61526807454,17880.103659756107,36414.9183896484,928.8251617257507,15808.253649999999,39909.0922,54837.49995422363
PRY,Paraguay,0,Emisi Rendah,2793.2080641461694,2149.323507432463,7905.639038146971,117.07143561089369,715.2483500000001,2477.3758000000003,5187.000042438507
PSE,West Bank and Gaza,0,Emisi Rendah,1754.3199629629632,729.785385278413,2372.549,85.92824236874239,986.4230000000001,1815.9798888888888,2460.557
PYF,French Polynesia,0,Emisi Rendah,441.64833333333337,245.0116228648937,733.4000000000001,14.209743842364533,161.15500000000003,447.37399999999997,716.416
QAT,Qatar,0,Emisi Rendah,27946.772022932942,26473.66616012511,91793.98522070309,1353.9349470840293,7653.762400000001,16177.553149999998,60009.00051879883
ROU,Romania,0,Emisi Rendah,121477.50361830242,48511.35358927452,20499.8049482422,-749.7222072848064,118064.74885,161681.2626,84686.49940490723
RWA,Rwanda,0,Emisi Rendah,480.7852182561238,318.8569255191159,1223.6570429153398,15.985466726905887,116.24389999999998,563.61175,762.5000047683718
SDN,Sudan,0,Emisi Rendah,7334.723767120872,5754.387773865351,19259.5438392334,281.0211088743279,3422.96115,4283.2101999999995,14297.999951362614
SGP,Singapore,0,Emisi Rendah,30358.322572888184,14030.908016261283,45986.5410681152,730.6017232486524,14223.376250000001,34478.5914,42373.00006866455
SEN,Senegal,0,Emisi Rendah,3887.5419207499885,2705.9775547477925,9791.2578855591,142.4681569899689,1499.996,2934.25245,7109.000016212466
SLB,Solomon Islands,0,Emisi Rendah,179.00350067551935,119.88760115164871,348.999014305115,6.812079912685541,44.004,167.50650000000002,325.5000020265581
SLE,Sierra Leone,0,Emisi Rendah,552.7915982118607,235.1803622690538,184.93497615814192,4.370829341266568,531.3482999999999,436.02649999999994,690.9999946355822
THA,Thailand,0,Emisi Rendah,113626.53391103518,93900.85489498447,263375.325337891,5262.669769585796,17450.886300000002,94488.21525000001,228940.5001831056
SLV,El Salvador,0,Emisi Rendah,3803.565941598511,2350.876380359403,7180.27719073486,129.27744455884724,1506.0368999999998,3193.1609,6711.50002479553
SOM,Somalia,0,Emisi Rendah,532.8316990065892,247.07648272056335,605.658997615814,8.498502439190037,269.52450000000005,716.4706,612.4999970197676
SRB,Serbia,0,Emisi Rendah,48378.66660563151,5232.51476603636,-15959.999237060503,-152.33815533698456,49245.0,49792.99986267091,46097.99995422363
SSD,South Sudan,0,Emisi Rendah,940.3333292802179,517.2844674623822,1270.00004768372,57.18131228999648,378.0,896.9999959468845,1545.999991893769
SST,Small states,0,Emisi Rendah,125180.72837788421,59613.98945082657,216742.94874541397,3236.726314391434,68690.33087228223,113797.19698841439,193054.65727295604
STP,Sao Tome and Principe,0,Emisi Rendah,54.29568326131103,38.12984915985222,138.999005960464,2.049703997049723,16.318149999999996,48.5689,97.99999978393308
SUR,Suriname,0,Emisi Rendah,1751.5921377043408,564.5123977107058,2217.2940953674297,19.1597453335683,1404.27765,1932.99875,1917.5000131130225
SVK,Slovak Republic,0,Emisi Rendah,38132.66654459636,5527.166286594045,-23730.0000762939,-593.2680838206181,44374.0,37506.999816894546,32516.999816894542
SVN,Slovenia,0,Emisi Rendah,14772.333394368487,1154.7516996732104,70.00038146969928,13.790878516548334,14217.0,15791.0002632141,14308.999919891361
SWE,Sweden,0,Emisi Rendah,59634.073377429195,14977.408671783016,-14222.141000000003,-619.5648681869168,74099.25235,59522.467500000006,45280.5002822876
SWZ,Eswatini,0,Emisi Rendah,504.1520683078108,214.7795387399857,926.996978542328,12.016814008295245,280.815,503.4386842105263,716.9999980926514
SYC,Seychelles,0,Emisi Rendah,229.4478051980336,177.04554336425286,602.666014305115,10.504793290074325,46.127,196.95326315789475,445.26315243620604
TCA,Turks and Caicos Islands,0,Emisi Rendah,112.45466666666665,63.75691916496128,187.017,8.025760073260074,42.781666666666666,104.71322222222221,189.86911111111112
TCD,Chad,0,Emisi Rendah,556.2067065962472,679.3295781655765,2194.995,30.266708714242593,132.19535000000002,306.92475,1229.5000197887414
TGO,Togo,0,Emisi Rendah,1022.5417996821083,753.3851898716284,2303.9938855590804,40.09869797567211,301.79409999999996,854.8313,1910.9999990463252
TUR,Turkey,0,Emisi Rendah,160231.98486017255,114581.9281191509,380019.467337891,6428.87949848594,45554.0409,136177.91365,298964.0000305177
TJK,Tajikistan,0,Emisi Rendah,4235.666688601176,2648.711253637654,-1599.9999237060492,8.985542133997464,4966.0,2514.000020027161,5227.000045776367
TKM,Turkmenistan,0,Emisi Rendah,50805.000061035156,15990.365560701679,28220.002746582002,1736.0868095083938,33569.0,48741.999328613274,70104.00085449219
TLA,Latin America & the Caribbean (IDA & IBRD countries),0,Emisi Rendah,969274.9581731883,442449.96007856866,1325388.87075237,25272.622779326903,476578.17134999996,940063.7058499999,1491182.9973195647
TLS,Timor-Leste,0,Emisi Rendah,351.66666822301016,175.50720355897474,450.00000298023303,31.506708362769324,191.6666676600772,281.66666875282914,581.6666682561241
TON,Tonga,0,Emisi Rendah,72.94583304027712,47.923090411874135,148.998996423721,2.674843995424029,19.98515,70.85235,127.99999912083133
TTO,Trinidad and Tobago,0,Emisi Rendah,13431.017264486694,5815.976287723172,14608.4325340576,247.28994449789363,7996.81025,14015.741450000001,18280.500093460083
TUN,Tunisia,0,Emisi Rendah,14743.664193642171,9359.630759815436,28182.8428474121,537.236682977636,4161.49495,14098.49765,25970.999980926517
